sym,date,dir,pnl_pct,win,spy_aligned,vwap_side,rs_vs_spy,above_sma50_d,vix_level,adx14_d,rsi14_d,gap_pct,prior_day_match,or_size_vs_atr
AAPL,2026-02-02,LONG,1.8563170659279382,1,1,1,1.1903254718633336,0,16.34000015258789,27.275000731978636,48.44442503536644,0.3018708624162006,1,0.8672922614048468
AAPL,2026-04-07,SHORT,-2.349904052669592,0,1,1,2.2453563754893273,1,25.780000686645508,19.140238810069135,54.4280092564578,1.7808798626414175,0,1.0267283215123528
MSFT,2026-01-30,SHORT,0.5740653425498123,1,1,1,1.3748495268052805,1,17.440000534057617,22.95946541641352,33.57871966704964,-1.5391904649682697,1,0.5261664330384012
MSFT,2026-02-03,SHORT,0.24738401195981752,1,1,1,1.6617168786363392,1,18.0,26.072188609715194,30.645515029414298,0.09371887055323032,1,0.5603812436296327
MSFT,2026-04-15,LONG,1.2762688910603839,1,1,1,1.8323741152140707,1,18.170000076293945,26.590614799472885,57.7978235809228,1.205774701376276,1,0.8015707921445946
GOOG,2026-02-26,SHORT,-1.2589834147313164,0,1,1,1.966691112771267,1,18.6299991607666,30.25381213616884,44.752291009783605,-0.03528730224915821,0,0.7771354286925721
META,2026-03-26,SHORT,3.8045595824898553,1,0,1,2.597926902950554,1,27.440000534057617,19.21250861813536,35.675294464635556,2.0776925225189546,1,0.49520845776354855
META,2026-03-27,SHORT,0.9962293836805556,1,1,1,1.05729074632377,1,31.049999237060547,21.643353264565853,25.77794468033703,1.4574242592294304,1,0.4959570491170927
META,2026-04-08,SHORT,-5.0000000000000036,0,1,1,1.1880827239169687,1,21.040000915527344,25.697667197879895,41.701164077609405,-5.329975665541134,0,0.5072894659129504
META,2026-04-15,LONG,-0.47350628021998004,0,1,1,0.9239136630028715,1,18.170000076293945,21.78030953201264,64.88163497074726,0.6807664767930235,1,0.33680034116319657
AMZN,2026-02-18,LONG,-0.5853501542222839,0,1,1,1.2969610002221383,0,19.6200008392334,28.710620742471274,26.680998224279776,0.47725913149230587,1,0.5510077260501686
AMZN,2026-03-04,LONG,-0.08754766482020385,0,1,1,2.4456772933207227,0,21.149999618530273,28.63147588548599,41.59236034410987,0.8336154499975839,1,0.7443010680788128
NVDA,2026-02-26,SHORT,0.6421490724522508,1,1,1,3.0836697113884823,0,18.6299991607666,9.47928255015284,61.00212178508041,0.6849426235021489,0,1.008685702800654
NVDA,2026-04-08,SHORT,-0.16501817751477305,0,1,1,1.1025722307406602,1,21.040000915527344,22.213782248861094,49.930440374191825,-3.5654074267890863,0,0.499324911447194
NVDA,2026-04-15,LONG,-0.18681370775927478,0,1,1,1.129853982725595,1,18.170000076293945,18.705333110693452,68.06751046726615,0.020359547117326512,1,0.4465781707144296
TSLA,2026-03-02,LONG,1.1490842371388472,1,1,1,1.4382806796650693,0,21.440000534057617,24.209276362367525,41.237433634088994,-3.0284967194987993,0,0.7075237673372228
TSLA,2026-04-08,SHORT,1.328153786227879,1,1,1,4.046059935056332,1,21.040000915527344,29.299147372112355,34.69867231638776,-4.945916582467847,0,0.799688259906685
TSLA,2026-04-20,SHORT,0.13486317526326547,1,0,1,2.406116860840034,0,18.8700008392334,24.668466295734113,60.31030539590306,-0.4892395484416092,0,0.833266509211763
AVGO,2026-02-26,SHORT,-3.658834826294805,0,1,1,3.8662353578535256,1,18.6299991607666,18.523156124562608,49.303062202656115,1.5286931938444774,0,0.76511758088181
AVGO,2026-04-10,LONG,-0.4487756664587654,0,1,1,3.356969360999489,1,19.229999542236328,21.539368901565236,65.94653734679136,1.7187472994768305,1,1.0446620382734788
NFLX,2026-03-04,LONG,-0.664782474647325,0,1,1,1.5623978606428786,1,21.149999618530273,31.93129850271232,72.94102264262952,-0.5936481266907465,1,0.8033284688906922
